Time Zone,Interval Start (km),Interval End (km)
1,0.0,30.36
2,30.36,60.73
3,60.73,91.09
4,91.09,121.46
5,121.46,151.82
6,151.82,182.19
7,182.19,212.55
8,212.55,242.92
9,242.92,273.28
10,273.28,303.64
11,303.64,334.01
12,334.01,364.37
13,364.37,394.74
14,394.74,425.1
15,425.1,455.47
16,455.47,485.83
17,485.83,516.2
18,516.2,546.56
19,546.56,576.92
20,576.92,607.29
21,607.29,637.65
22,637.65,668.02
23,668.02,698.38
24,698.38,728.75
25,728.75,759.11
26,759.11,789.48
27,789.48,819.84
28,819.84,850.2
29,850.2,880.57
30,880.57,910.93
31,910.93,941.3
32,941.3,971.66
33,971.66,1002.03
34,1002.03,1032.39
35,1032.39,1062.76
36,1062.76,1093.12
37,1093.12,1123.48
38,1123.48,1153.85
39,1153.85,1184.21
40,1184.21,1214.58
41,1214.58,1244.94
42,1244.94,1275.31
43,1275.31,1305.67
44,1305.67,1336.04
45,1336.04,1366.4
46,1366.4,1396.76
47,1396.76,1427.13
48,1427.13,1457.49
49,1457.49,1487.86
50,1487.86,1518.22
51,1518.22,1548.59
52,1548.59,1578.95
53,1578.95,1609.32
54,1609.32,1639.68
55,1639.68,1670.04
56,1670.04,1700.41
57,1700.41,1730.77
58,1730.77,1761.14
59,1761.14,1791.5
60,1791.5,1821.87
61,1821.87,1852.23
62,1852.23,1882.6
63,1882.6,1912.96
64,1912.96,1943.32
65,1943.32,1973.69
66,1973.69,2004.05
67,2004.05,2034.42
68,2034.42,2064.78
69,2064.78,2095.15
70,2095.15,2125.51
71,2125.51,2155.88
72,2155.88,2186.24
73,2186.24,2216.61
74,2216.61,2246.97
75,2246.97,2277.33
76,2277.33,2307.7
77,2307.7,2338.06
78,2338.06,2368.43
79,2368.43,2398.79
80,2398.79,2429.16
81,2429.16,2459.52
82,2459.52,2489.89
83,2489.89,2520.25
84,2520.25,2550.61
85,2550.61,2580.98
86,2580.98,2611.34
87,2611.34,2641.71
88,2641.71,2672.07
89,2672.07,2702.44
90,2702.44,2732.8
91,2732.8,2763.17
92,2763.17,2793.53
93,2793.53,2823.89
94,2823.89,2854.26
95,2854.26,2884.62
96,2884.62,2914.99
97,2914.99,2945.35
98,2945.35,2975.72
99,2975.72,3006.08
100,3006.08,3036.45
101,3036.45,3066.81
102,3066.81,3097.17
103,3097.17,3127.54
104,3127.54,3157.9
105,3157.9,3188.27
106,3188.27,3218.63
107,3218.63,3249.0
108,3249.0,3279.36
109,3279.36,3309.73
110,3309.73,3340.09
111,3340.09,3370.45
112,3370.45,3400.82
113,3400.82,3431.18
114,3431.18,3461.55
115,3461.55,3491.91
116,3491.91,3522.28
117,3522.28,3552.64
118,3552.64,3583.01
119,3583.01,3613.37
120,3613.37,3643.73
121,3643.73,3674.1
122,3674.1,3704.46
123,3704.46,3734.83
124,3734.83,3765.19
125,3765.19,3795.56
126,3795.56,3825.92
127,3825.92,3856.29
128,3856.29,3886.65
129,3886.65,3917.01
130,3917.01,3947.38
131,3947.38,3977.74
132,3977.74,4008.11
133,4008.11,4038.47
134,4038.47,4068.84
135,4068.84,4099.2
136,4099.2,4129.57
137,4129.57,4159.93
138,4159.93,4190.29
139,4190.29,4220.66
140,4220.66,4251.02
141,4251.02,4281.39
142,4281.39,4311.75
143,4311.75,4342.12
144,4342.12,4372.48
145,4372.48,4402.85
146,4402.85,4433.21
147,4433.21,4463.57
148,4463.57,4493.94
149,4493.94,4524.3
150,4524.3,4554.67
151,4554.67,4585.03
152,4585.03,4615.4
153,4615.4,4645.76
154,4645.76,4676.13
155,4676.13,4706.49
156,4706.49,4736.85
157,4736.85,4767.22
158,4767.22,4797.58
159,4797.58,4827.95
160,4827.95,4858.31
161,4858.31,4888.68
162,4888.68,4919.04
163,4919.04,4949.41
164,4949.41,4979.77
165,4979.77,5010.13
166,5010.13,5040.5
167,5040.5,5070.86
168,5070.86,5101.23
169,5101.23,5131.59
170,5131.59,5161.96
